	d1_0	d1_1	d1_2	d1_3	d1_4	d1_5	d1_6	d1_7	d1_8	d1_9	d1_10	d1_11	d1_12	d1_13	d1_14	d1_15	d1_16	d1_17	d1_18	d1_19	d1_20	d1_21	d1_22	d1_23	d1_24	d1_25	d1_26	d1_27	d1_28	d1_29	d1_30	d1_31	d1_32	d1_33	d1_34	d1_35	d1_36	d1_37	d1_38	d1_39	d1_40	d1_41	d1_42	d1_43	d1_44	d1_45	d1_46	d1_47	d1_48	d1_49	d1_50	d1_51	d1_52	d1_53	d1_54	d1_55	d1_56	d1_57	d1_58	d1_59	d1_60	d1_61	d1_62
d2_22	0	5.07424e-06	0	0	1.44978e-06	1.81329e-05	1.02394e-05	9.54971e-06	0.00718237	0.000292536	0	0.000457221	2.27352e-05	0	1.57509e-05	1.64785e-05	1.64921e-05	8.68211e-06	0.00188557	0.0014722	2.69231e-06	0	3.32259e-05	0	1.19672e-05	0	0	0.000276667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_23	0	0	1.44978e-06	0	6.88221e-06	1.27855e-05	0.00655932	0	1.52034e-05	0.000815105	2.89956e-06	1.45741e-05	0	0.000702665	1.09658e-06	0	4.31541e-06	3.22057e-05	2.10875e-05	0.000700321	0	3.92229e-05	0.00203388	0.000810738	0.00206389	0	0	0	0	0	0	0	8.6254e-06	0	0	0	0	6.71036e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_24	0	0	0	2.20083e-05	1.03777e-05	5.7986e-05	0	6.10262e-06	6.88646e-06	0	0.00487687	0.000455408	0.000436305	0	0.000414886	0	1.33086e-05	0.000445567	0.00824234	2.20589e-06	2.01817e-05	3.9869e-06	0.00567517	0	2.35518e-05	0	0	0	0.00271598	0	1.62419e-05	0	0	0	0	0	0	0.000842309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_25	2.00954e-05	0	9.78603e-06	1.44978e-06	1.26798e-05	0.000242219	1.63134e-06	2.48804e-05	0	2.17467e-06	9.1702e-07	2.17467e-06	0.000661088	0.00129604	0	7.82189e-05	0.00819592	2.88117e-05	1.25376e-06	0	0	0.000291811	4.56538e-05	0.00147295	0	0.00121611	0.000824789	7.24891e-07	0	0	2.27193e-05	0	0	4.86283e-06	0	0	0	0	1.03513e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_26	1.30078e-05	4.45137e-06	0	0.00073999	1.51537e-05	0.000810738	0	0	3.26201e-06	0	2.06062e-05	0	2.73629e-05	2.84704e-05	2.03949e-05	3.55124e-05	0.000432542	0	0	2.65719e-05	0.00492717	0	7.24891e-07	0.00125132	9.49998e-06	1.17956e-05	0	0.00147717	0	0	0	0	1.0084e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_27	0	0	0	0	0	0	0	2.89956e-06	0.000810738	0.00148715	2.63379e-05	1.08734e-06	0.00491724	5.29234e-06	7.47465e-06	7.24891e-07	0.00636795	0.00191628	1.75385e-05	1.61449e-05	0	3.247e-05	0.000828058	1.28667e-05	8.34097e-07	2.13145e-05	1.32467e-05	3.04559e-05	0	0	1.558e-05	9.05912e-07	0	0	0	0	0	1.41536e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_28	0	0	0	5.79913e-06	0	0	0	0	0	3.96752e-05	0.00613492	0	0	8.39601e-06	7.86664e-06	0	0	5.77012e-06	0.000810738	9.79611e-06	0.00125112	0	0	0.00610945	0.000821121	0	5.31547e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_29	0	0	0	0	0	0.00610729	3.94386e-05	0	0	0	0	0.00693158	0.00205262	1.8721e-05	8.14232e-06	4.07964e-06	0	5.9368e-06	0	0	0.00608287	0.00206773	0.000810738	1.02249e-05	0.000415412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00122961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_30	0	0	0	0	0	2.97013e-05	4.5553e-05	1.67037e-06	0	0	0	0	0	0.000444278	1.45282e-05	2.18974e-05	0	2.05716e-05	0.000854076	0	0	0	0	0	0.000407426	0.00146816	0	0	6.87583e-06	7.79768e-07	3.35316e-05	0	1.06106e-05	0	0	0	0	0.000243221	6.59774e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_31	0	0	0	0	0	0	1.08734e-06	0	3.26201e-06	2.17467e-06	9.369e-06	0	1.59355e-05	0.00568156	0	0	0	0	0	0.000423532	0	0	0	4.02099e-05	0	6.83293e-06	0	5.14015e-06	8.19907e-07	1.72758e-05	0.000834959	0	0	0	0	0	0	0	1.95186e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_32	0	0	0	0	0	2.17467e-06	0	0	0.000457583	0	0	2.28058e-06	0	0	0	0	6.60799e-06	0	0	8.1301e-06	2.11283e-05	0	0	4.2159e-06	0.00568993	0	0.000693705	1.87837e-05	0	1.2656e-05	0.00636338	0	1.40231e-06	0	0	9.42286e-06	0	0	0	0	8.56325e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_33	0	0	0	0	0	0	0	0	0	6.70236e-06	0.000818778	1.61269e-05	0.00649776	0	3.1131e-05	0	0	0	0	0	3.49427e-05	0	0	0	0	0	2.87783e-05	0	0	0	7.3531e-06	0.000827327	1.44054e-05	1.79473e-05	0.000449445	0	0.000810738	0	0	0	0.000412877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_34	0	0	0	0	0	0.00567517	0.000295073	0	5.47884e-06	7.24891e-07	0	0	5.79913e-06	6.29904e-06	0	0	0	0	0	0	0	0	0	0	0.00203491	0	0	0	1.80809e-05	0	0.00632935	0	0	0	0	0	0	0	0	0	0	0	1.46196e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
