	d1_0	d1_1	d1_2	d1_3	d1_4	d1_5	d1_6	d1_7	d1_8	d1_9	d1_10	d1_11	d1_12	d1_13	d1_14	d1_15	d1_16	d1_17	d1_18	d1_19	d1_20	d1_21	d1_22	d1_23	d1_24	d1_25	d1_26	d1_27	d1_28	d1_29	d1_30	d1_31	d1_32	d1_33	d1_34	d1_35	d1_36	d1_37	d1_38	d1_39	d1_40	d1_41	d1_42	d1_43	d1_44	d1_45	d1_46	d1_47	d1_48	d1_49	d1_50	d1_51	d1_52	d1_53	d1_54	d1_55	d1_56	d1_57	d1_58	d1_59	d1_60	d1_61	d1_62
d2_22	0	2.84605e-06	0	0	1.27776e-05	4.55987e-06	3.90633e-06	7.2842e-07	0	0.000201944	0.000441608	3.91333e-06	2.75111e-05	4.28853e-05	3.79272e-05	9.70114e-06	0.0062613	0.00627622	6.14765e-06	0	0	8.2582e-06	0	0	0	0	1.20937e-05	0	2.16486e-05	0	0	0	0	0	0	1.07031e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_23	0	0	0	0	0	0	6.862e-06	0	3.34875e-06	1.90271e-05	0	0.00684331	1.49928e-06	0	3.38527e-06	2.33401e-05	4.2942e-05	0.00147953	0.00125958	0.00148021	1.61191e-05	0.00148756	0	0.00042776	8.69175e-06	8.73051e-06	0	1.18246e-05	7.11514e-07	0	9.01427e-06	0	0	0	0	0	0	0	0	0	1.15352e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_24	3.55757e-06	7.11514e-07	0.000290138	1.42303e-06	3.91333e-06	2.36639e-06	0	9.55141e-07	0	1.60091e-05	1.6684e-05	0	0	5.33092e-05	0	0.0055844	0.00719268	0	0	3.4167e-05	2.13454e-06	1.33331e-05	0	3.89202e-06	2.38025e-05	0.00119366	0.00163125	7.1962e-06	0	0	1.30148e-05	0.000423134	0	0	0	0	0	0	1.03224e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_25	3.20181e-06	7.94871e-05	0	9.17851e-06	1.4288e-05	0	0	0.00231639	0	8.53055e-06	0	0.000411476	9.68335e-06	3.99813e-06	3.76931e-05	0.00164435	7.40914e-06	0	1.14036e-05	0	1.27063e-05	2.36608e-06	0.000856661	1.24693e-06	0.00560302	0.000436689	0	0.000406886	0	1.81732e-05	0	8.99735e-06	8.78172e-06	0	0	0	0	0.000425213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_26	0	0	0	2.84605e-06	0	1.50342e-05	1.52091e-05	0.00560654	2.4903e-06	0.00557044	0	3.46632e-06	0.00087006	0.00146006	0	0	1.4238e-06	0.000795777	0.000800886	0.00147693	0	2.47234e-06	9.30227e-06	0	0.00147924	2.60988e-05	5.34864e-05	0	0	0	0	0	0	0	0	0	8.92317e-06	0	1.28767e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_27	0	0	0	0.00121211	0	3.20181e-06	1.42303e-06	4.62484e-06	0.000439262	5.5504e-05	0	7.61942e-06	0	1.66711e-05	0.00121733	4.62484e-06	1.06727e-06	9.20837e-06	0.000697893	0	2.04031e-05	3.40439e-05	0.00636621	0	0	0.00146085	0	0	0	0	0	0	0	0.000795777	0	2.26706e-05	0	0	0	0.00639968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_28	0	0	0	4.26908e-06	0	3.55757e-06	1.372e-05	9.10328e-06	0	0.000438069	2.80247e-05	0	0	1.25379e-05	0.00684114	0	0	1.06727e-06	0	0.000272044	6.0473e-06	0	0.000416983	0	3.9627e-05	0.00119366	3.09511e-05	1.86857e-05	0	0	0	0.000418207	0	1.71194e-05	0	0	0	0	2.83628e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_29	0	0	0	0	0	0	2.46452e-05	4.9806e-06	0	4.38022e-06	0	5.97323e-06	0	0	4.05198e-05	0	0.00122267	0	0.00123953	0	4.6702e-05	0	0	0.000795777	0	0	3.73173e-06	4.14525e-06	0.000837731	0	2.75237e-05	1.69598e-05	0	0	0.000827554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_30	0	0	0	8.84021e-06	0	0	0.000841182	0.00148024	0	0	0.00121367	1.28547e-05	2.82354e-06	4.75351e-05	0	0.000808469	0	0.00105696	0	2.57657e-06	0	0.00119368	0	0.00122872	0.00123942	0.000654297	0	0.000795777	1.44749e-06	0	1.11109e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00703977	4.58913e-05	0	1.16025e-05	0	0.000690265	6.02908e-06	4.76784e-07	0.000795777	0.00187119	1.70716e-06	0	2.39248e-05	0.000828281	0	0.00290842	0	0	0	0	0	0	0	0	0	6.26704e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
